ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season,team_state,conference,division,has_roster,roster,total_inches,height_ft,height_in,height_clean
19117,Salem (WV),3621,Sparkle Leigh,NA,"Miamisburg, OH",Miamisburg High School,Ohio Valley / Bluefield State,"5'6""",N/A,0,https://www.salemtigers.com/sports/womens-basketball/roster/sparkle-leigh/3621,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"	5'6"""
19117,Salem (WV),3615,Jamya Miller,NA,"Seymour, IN",Seymour High School,NA,"5'5""",N/A,1,https://www.salemtigers.com/sports/womens-basketball/roster/jamya-miller/3615,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'5"""
19117,Salem (WV),3629,Jayla Atkins,NA,"Philadelphia, PA",NA,Harcum College,"5'8""",N/A,2,https://www.salemtigers.com/sports/womens-basketball/roster/jayla-atkins/3629,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'8"""
19117,Salem (WV),3628,Aina Maynou,NA,"Cabrera de Mar, Spain",NA,NA,"5'6""",N/A,4,https://www.salemtigers.com/sports/womens-basketball/roster/aina-maynou/3628,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'6"""
19117,Salem (WV),3620,Kirsten Cross,NA,"Lawrenceburg, IN",Lawrenceburg High School,NA,"5'11""",N/A,5,https://www.salemtigers.com/sports/womens-basketball/roster/kirsten-cross/3620,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'11"""
19117,Salem (WV),3612,Daniela Quesada,NA,"San Carlos, Costa Rica",Montverde Academy,Montverde Academy,"5'6""",N/A,10,https://www.salemtigers.com/sports/womens-basketball/roster/daniela-quesada/3612,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'6"""
19117,Salem (WV),3627,Anna Machytkova,NA,"Prague, Czech Republic",NA,NA,"5'10""",N/A,11,https://www.salemtigers.com/sports/womens-basketball/roster/anna-machytkova/3627,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'10"""
19117,Salem (WV),3622,Emerson Wells,NA,"Tasmania, Australia",Marist Regional,NA,"5'8""",N/A,12,https://www.salemtigers.com/sports/womens-basketball/roster/emerson-wells/3622,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'8"""
19117,Salem (WV),3611,Nerea Arambarri Fernandez,NA,"Vigo, Spain",NA,I.E.S Do Castro,"5'7""",N/A,14,https://www.salemtigers.com/sports/womens-basketball/roster/nerea-arambarri-fernandez/3611,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'7"""
19117,Salem (WV),3623,Elena Pericic,NA,"Koprivnica, Croatia",NA,NA,"5'11""",N/A,20,https://www.salemtigers.com/sports/womens-basketball/roster/elena-pericic/3623,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'11"""
19117,Salem (WV),3624,Mariona Garcia,NA,"Barcelona, Spain",NA,NA,NA,N/A,23,https://www.salemtigers.com/sports/womens-basketball/roster/mariona-garcia/3624,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,NA
19117,Salem (WV),3626,Anete Bluma,NA,"Saldus, Latvia",NA,Vincennes University,"6'0""",N/A,24,https://www.salemtigers.com/sports/womens-basketball/roster/anete-bluma/3626,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"6'0"""
19117,Salem (WV),3619,Liliani Krause,NA,"Colorado Springs, Colorado",NA,NA,"5'9""",N/A,32,https://www.salemtigers.com/sports/womens-basketball/roster/liliani-krause/3619,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"5'9"""
19117,Salem (WV),3625,Barbara Trehub,NA,"Vinkovci, Croatia",NA,NA,"6'0""",N/A,44,https://www.salemtigers.com/sports/womens-basketball/roster/barbara-trehub/3625,2022-23,WV,DII Independent,II,1,1,NA,NA,NA,"6'0"""
30084,Geneva,2895,Hailey Carroll,Freshman,"Bremerton, WA",Central Kitsap,NA,"5'4""",G,0,https://www.geneva.edu/sports/womens-basketball/roster/hailey-carroll/2895,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'4"""
30084,Geneva,2889,Isabella Roth,Senior,"Ellwood City, PA",Ellwood City,NA,"5'8""",G,1,https://www.geneva.edu/sports/womens-basketball/roster/isabella-roth/2889,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'8"""
30084,Geneva,2886,Anna Hampshire,Junior,"Lincoln University, PA",Oxford Area,NA,"5'9""",G,2,https://www.geneva.edu/sports/womens-basketball/roster/anna-hampshire/2886,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'9"""
30084,Geneva,2885,Emily Bucheit,Junior,"Kane, PA",Kane,NA,"5'9""",G,3,https://www.geneva.edu/sports/womens-basketball/roster/emily-bucheit/2885,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'9"""
30084,Geneva,2896,Mackenzie Barricklow,Sophomore,"Lorain, OH",Homeschool,NA,"5'9""",G/F,4,https://www.geneva.edu/sports/womens-basketball/roster/mackenzie-barricklow/2896,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'9"""
30084,Geneva,2888,Tess Liggett,Senior,"Columbiana, OH",Columbiana (Point Park),NA,"5'7""",G,5,https://www.geneva.edu/sports/womens-basketball/roster/tess-liggett/2888,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'7"""
30084,Geneva,2891,Cynthia Stewart,Junior,"Silver Springs, MD",Paint Branch,NA,"5'6""",G,10,https://www.geneva.edu/sports/womens-basketball/roster/cynthia-stewart/2891,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'6"""
30084,Geneva,2898,Bailee Fletcher,Freshman,"Midlothian, TX",Waxahachie Preparatory Academy,NA,"6'0""",G/F,11,https://www.geneva.edu/sports/womens-basketball/roster/bailee-fletcher/2898,2022-23,PA,PAC,III,1,1,NA,NA,NA,"6'0"""
30084,Geneva,2894,Sarah Christel,Freshman,"Herndon, VA",Trinity Christian,NA,"5'3""",G,12,https://www.geneva.edu/sports/womens-basketball/roster/sarah-christel/2894,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'3"""
30084,Geneva,2892,Lily Ybarra,Sophomore,"Corpus Christi, TX",Tuloso-Midway,NA,"5'6""",G,13,https://www.geneva.edu/sports/womens-basketball/roster/lily-ybarra/2892,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'6"""
30084,Geneva,2893,Abby Shoaff,Sophomore,"Bessemer, PA",Mohawk,NA,"5'5""",G,14,https://www.geneva.edu/sports/womens-basketball/roster/abby-shoaff/2893,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'5"""
30084,Geneva,2890,Mia San Nicolas,Junior,"Sinajana, Guam",Academy of Our Lady of Guam,NA,"6'0""",F,22,https://www.geneva.edu/sports/womens-basketball/roster/mia-san-nicolas/2890,2022-23,PA,PAC,III,1,1,NA,NA,NA,"6'0"""
30084,Geneva,2897,Madi Matthews,Freshman,"Columbiana, OH",Heartland Christian,NA,"5'4""",G,24,https://www.geneva.edu/sports/womens-basketball/roster/madi-matthews/2897,2022-23,PA,PAC,III,1,1,NA,NA,NA,"5'4"""
