Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,151351,Indiana University-Bloomington,IN,NCAA Division I-A,,1,NCAA,13573,14986,28559,,,,,,,,,666166,,,666166,2994791,1302044,,4296835,,,,,,,,,799846,957829,,1757675,,,,,,,,,,,,,,449170,,449170,8535382,,,8535382,267481,238122,,505603,,,,,,,,,,,,,,,,,,,,,,356807,,356807,,,,,,,,,791459,606432,,1397891,,649784,,649784,,,,,681280,776989,,1458269,,,,,,,,,,,,,,,,,361773,530095,,891868,,,,,,,,,,,,,,725169,,725169,,443033,,443033,,,,,486012,,,486012,,,,,15584190,7035474,,14268897,36888561
2003,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14349,16766,31115,,,,,,,,,629472,,,629472,4346531,1752016,,6098547,,,,,,,,,629947,822545,,1452492,,,,,,,,,,,,,,695775,,695775,11393664,,,11393664,226982,324944,,551926,,675922,,675922,1813360,,,1813360,,,,,,,,,,,,,,946732,,946732,,,,,,,,,391694,474462,,866156,,701049,,701049,,,,,460990,553487,,1014477,,,,,,,,,,,,,,,,,329175,346783,,675958,,,,,,,,,,,,,,868153,,868153,,,,,,,,,569563,,,569563,,,,,20791378,8161868,,12872822,41826068
2003,147767,Northwestern University,IL,NCAA Division I-A,,1,NCAA,3727,4140,7867,,,,,,,,,794933,,,794933,2467866,1402045,,3869911,,,,,,,,,,,,,,,,,,,,,,325899,,325899,,687718,,687718,9503214,,,9503214,379246,386438,,765684,,,,,,,,,,578474,,578474,,,,,,,,,,,,,,,,,,,,,453453,685248,,1138701,,779513,,779513,,,,,568086,792810,,1360896,,,,,,,,,,,,,,,,,347589,497570,,845159,,,,,,,,,,329174,,329174,,844144,,844144,,,,,,,,,579104,,,579104,,,,,15093491,7309033,,10017033,32419557
2003,204796,Ohio State University-Main Campus,OH,NCAA Division I-A,,1,NCAA,17487,15934,33421,,,,,,,,,918022,,,918022,3732420,2327544,,6059964,,,,,,,,,679117,886763,,1565880,,,,,,,,,299452,330684,,630136,,810961,,810961,16128530,,,16128530,384241,399602,,783843,510001,614363,,1124364,1540537,1037475,,2578012,845255,690936,,1536191,28002,18862,,46864,,,,,,925620,,925620,,,,,,,,,762115,708481,,1470596,,757955,,757955,,,,,548071,647414,,1195485,,,,,,369933,,369933,,,,,,,,,342833,460200,,803033,,,,,,,,,,,,,363600,858780,,1222380,,,,,,,,,1202448,,,1202448,31865,19790,,51655,28316509,11865363,,49905732,90087604
2003,243780,Purdue University-Main Campus,IN,NCAA Division I-A,,1,NCAA,17679,11850,29529,,,,,,,,,715406,,,715406,2758318,2048406,,4806724,,,,,,,,,704154,811676,,1515830,,,,,,,,,,,,,,,,,10400498,,,10400498,286791,336000,,622791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766345,,766345,,702772,,702772,,,,,644508,743454,,1387962,,,,,,,,,,,,,,,,,357103,464647,,821750,,,,,,,,,,,,,,954371,,954371,,,,,,,,,546625,,,546625,,,,,16413403,6827671,,22189215,45430289
2003,186380,Rutgers University-New Brunswick/Piscataway,NJ,NCAA Division I-A,,1,NCAA,11820,12978,24798,,,,,,,,,705301,,,705301,2322358,1786948,,4109306,,,,,,,,,775149,750977,,1526126,,,,,,,,,125753,105414,,231167,,420579,,420579,8547564,,,8547564,153135,136855,,289990,,368337,,368337,,,,,621009,431282,,1052291,,,,,,,,,636683,317214,,953897,,,,,,,,,706028,621079,,1327107,,500777,,500777,,,,,397700,449944,,847644,,,,,,,,,,,,,,,,,180436,247617,,428053,,,,,,,,,,,,,,420412,,420412,,,,,,,,,355744,,,355744,,,,,15526860,6557435,,9856198,31940493
2003,145637,University of Illinois at Urbana-Champaign,IL,NCAA Division I-A,,1,NCAA,14826,13269,28095,,,,,,,,,766431,,,766431,2983193,1751574,,4734767,,,,,,,,,623510,648675,,1272185,,,,,,,,,,,,,,,,,7402662,,,7402662,265975,212671,,478646,382840,530169,,913009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605813,,605813,,683981,,683981,,,,,,494832,,494832,,,,,,,,,,,,,,,,,514936,395756,,910692,,,,,,,,,,,,,,861825,,861825,,,,,,,,,640664,,,640664,,,,,13580211,6185296,,15436721,35202228
2003,153658,University of Iowa,IA,NCAA Division I-A,,1,NCAA,8196,9578,17774,,,,,,,,,341449,,,341449,3401890,1411844,,4813734,,,,,,,,,317405,272718,,590123,,,,,,,,,,,,,,248933,,248933,10334719,,,10334719,63955,98868,,162823,279951,254478,,534429,,,,,,,,,,,,,,,,,,271103,,271103,,,,,,,,,,259566,,259566,,305032,,305032,,,,,191417,194411,,385828,,,,,,,,,,,,,,,,,160724,119941,,280665,,,,,,,,,,,,,,358607,,358607,,,,,,,,,1002315,,,1002315,,,,,16093825,3795501,,22516943,42406269
2003,163286,UNIVERSITY OF MARYLAND-COLLEGE PARK,MD,NCAA Division I-A,,1,NCAA,11591,11425,23016,,,,,,,,,568311,,,568311,3527275,1664298,,5191573,,,,,,,,,267244,580648,,847892,,,,,,,,,,,,,,572686,,572686,8736751,,,8736751,233389,294934,,528323,,537673,,537673,,,,,740566,553199,,1293765,,,,,,,,,,,,,,,,,,,,,747387,561664,,1309051,,489542,,489542,,,,,421263,672423,,1093686,,,,,,,,,,,,,,,,,154817,339392,,494209,,,,,,,,,,,,,,572383,,572383,,83511,,83511,,,,,364416,,,364416,,188885,,188885,15761419,7111238,,17599491,40472148
2003,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,11340,11972,23312,,,,,,,,,980390,,,980390,3271259,1477203,,4748462,,,,,,,,,,,,,,,,,,,,,,,,,,931518,,931518,10638824,,,10638824,340506,448981,,789487,593598,899756,,1493354,1890879,,,1890879,,,,,,,,,,,,,,1389688,,1389688,,,,,,,,,594484,786224,,1380708,,843284,,843284,,,,,784427,851373,,1635800,,,,,,,,,,,,,,,,,427257,644810,,1072067,,,,,,,,,961289,1175143,,2136432,,951949,,951949,,555038,,555038,,,,,748759,,,748759,,,,,21231672,10954967,,27140598,59327237
