Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,163286,UNIVERSITY OF MARYLAND-COLLEGE PARK,MD,NCAA Division I-A,,1,NCAA,11591,11425,23016,,,,,,,,,568311,,,568311,3527275,1664298,,5191573,,,,,,,,,267244,580648,,847892,,,,,,,,,,,,,,572686,,572686,8736751,,,8736751,233389,294934,,528323,,537673,,537673,,,,,740566,553199,,1293765,,,,,,,,,,,,,,,,,,,,,747387,561664,,1309051,,489542,,489542,,,,,421263,672423,,1093686,,,,,,,,,,,,,,,,,154817,339392,,494209,,,,,,,,,,,,,,572383,,572383,,83511,,83511,,,,,364416,,,364416,,188885,,188885,15761419,7111238,,17599491,40472148
2004,163286,UNIVERSITY OF MARYLAND-COLLEGE PARK,MD,NCAA Division I-A,,1,NCAA,11652,11281,22933,,,,,,,,,648183,,,648183,3465662,1923330,,5388992,,,,,,,,,331523,674541,,1006064,,,,,,,,,,,,,,605579,,605579,9301052,,,9301052,226799,270244,,497043,,554604,,554604,,,,,816436,586388,,1402824,,,,,,,,,,,,,,,,,,,,,732276,570144,,1302420,,553405,,553405,,,,,493118,701273,,1194391,,,,,,,,,,,,,,,,,204469,368225,,572694,,,,,,,,,,,,,,605654,,605654,,180502,,180502,,,,,408157,,,408157,,305919,,305919,16627675,7899808,,21756165,46283648
2008,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12613,11683,24296,,,,,,,,,848976,,,848976,4891205,2719018,,7610223,,,,,,,,,586446,868162,,1454608,,,,,,,,,,,,,,805008,,805008,11729095,,,11729095,278474,318402,,596876,,661129,,661129,,,,,913433,758113,,1671546,,,,,,,,,,,,,,,,,,,,,1074850,820933,,1895783,,786160,,786160,,,,,606437,880973,,1487410,,,,,,,,,,,,,,,,,370258,391080,,761338,,,,,,,,,,,,,,770473,,770473,,492522,,492522,,,,,699662,,,699662,,,,,21998836,10271973,,27415939,59686748
2009,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12835,11685,24520,,,,,,,,,938749,,,938749,5160381,2158656,,7319037,,,,,,,,,489338,828534,,1317872,,,,,,,,,,,,,,778792,,778792,9863748,,,9863748,305438,345110,,650548,,613943,,613943,,,,,849416,761307,,1610723,,,,,,,,,,,,,,,,,,,,,1051660,839390,,1891050,,733600,,733600,,,,,620889,923706,,1544595,,,,,,,,,,,,,,,,,442491,423298,,865789,,,,,,,,,,,,,,743548,,743548,,511547,,511547,,,,,701742,,,701742,,,,,20423852,9661431,,21333064,51418347
2010,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,13098,11651,24749,,,,,,,,,937604,,,937604,6062659,2595713,,8658372,,,,,,,,,544678,781685,,1326363,,,,,,,,,,,,,,791340,,791340,11689128,,,11689128,303818,348066,,651884,,623119,,623119,,,,,1110224,795018,,1905242,,,,,,,,,,,,,,,,,,,,,1092627,814677,,1907304,,737994,,737994,,,,,742903,858926,,1601829,,,,,,,,,,,,,,,,,459819,479917,,939736,,,,,,,,,,,,,,746367,,746367,,552281,,552281,,,,,705400,,,705400,,,,,23648860,10125103,,23727344,57501307
2011,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12973,11617,24590,,,,,,,,,1018396,,,1018396,6334927,2906034,,9240961,,,,,,,,,586275,874101,,1460376,,,,,,,,,,,,,,854595,,854595,13765146,,,13765146,327385,379169,,706554,,677923,,677923,,,,,1298538,877844,,2176382,,,,,,,,,,,,,,,,,,,,,1073420,773075,,1846495,,814697,,814697,,,,,812535,989348,,1801883,,,,,,,,,,,,,,,,,473973,402154,,876127,,,,,,,,,,,,,,777070,,777070,,509135,,509135,,,,,791182,,,791182,,,,,26481777,10835145,,24619452,61936374
2012,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12838,11526,24364,,,,,,,,,998901,,,998901,6463690,3295139,,9758829,,,,,,,,,,851252,,851252,,,,,,,,,,,,,,857090,,857090,11172381,,,11172381,320364,365271,,685635,,712320,,712320,,,,,1165940,921270,,2087210,,,,,,,,,,,,,,,,,,,,,1314637,937424,,2252061,,811196,,811196,,,,,,,,,,,,,,,,,,,,,,,,,,394049,,394049,,,,,418214,,,418214,,,,,,844465,,844465,,,,,,,,,811829,,,811829,,,,,22665956,9989476,,25105978,57761410
2013,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12891,11509,24400,,,,,,,,,1333003,,,1333003,6775304,3899238,,10674542,,,,,,,,,,1070621,,1070621,,,,,,,,,,,,,,970809,,970809,15398021,,,15398021,319482,421569,,741051,,862486,,862486,,,,,1295553,1088759,,2384312,,,,,,,,,,,,,,,,,,,,,1541885,947712,,2489597,,834047,,834047,,,,,,,,,,,,,,,,,,,,,,,,,,531923,,531923,,,,,552178,,,552178,,,,,,963245,,963245,,,,,,,,,835108,,,835108,,,,,28050534,11590409,,27920411,67561354
2014,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,13210,11698,24908,,,,,,,,,1564211,,,1564211,7308359,4242541,,11550900,,,,,,,,,,1235324,,1235324,,,,,,,,,,,,,,1289549,,1289549,16151389,,,16151389,475906,646554,,1122460,,1309725,,1309725,,,,,1426560,1263789,,2690349,,,,,,,,,,,,,,,,,,,,,1433682,1268182,,2701864,,1226258,,1226258,,,,,,,,,,,,,,,,,,,,,,,,,,826873,,826873,,,,,936943,,,936943,,,,,,1377903,,1377903,,,,,,,,,1032181,,,1032181,,,,,30329231,14686698,,39118587,84134516
2015,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,13500,11772,25272,,,,,,,,,1866138,,,1866138,7622707,4456893,,12079600,,,,,,,,,,1473369,,1473369,,,,,,,,,,,,,,1312267,,1312267,20779161,,,20779161,527570,652758,,1180328,,1239550,,1239550,,,,,1648447,1351787,,3000234,,,,,,,,,,,,,,,,,,,,,1683969,1246661,,2930630,,1255842,,1255842,,,,,,,,,,,,,,,,,,,,,,,,,,914857,,914857,,,,,966385,,,966385,,,,,,1654402,,1654402,,,,,,,,,1121031,,,1121031,,,,,36215408,15558386,,35934091,87707885
2016,163286,University of Maryland-College Park,MD,NCAA Division I-FBS,,1,NCAA,13815,12359,26174,,,,,,,,,1937650,,,1937650,7442558,4892206,,12334764,,,,,,,,,,1679928,,1679928,,,,,,,,,,,,,,1358557,,1358557,18908923,,,18908923,521820,701530,,1223350,,1295177,,1295177,,,,,2055441,1328777,,3384218,,,,,,,,,,,,,,,,,,,,,1903273,1292461,,3195734,,1335476,,1335476,,,,,,,,,,,,,,,,,,,,,,,,,,896442,,896442,,,,,955322,,,955322,,,,,,1814084,,1814084,,,,,,,,,1164038,,,1164038,,,,,34889025,16594638,,37665792,89149455
