Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,163286,UNIVERSITY OF MARYLAND-COLLEGE PARK,MD,NCAA Division I-A,,1,NCAA,11591,11425,23016,,,,,,,,,2040,,,2040,10625828,98886,,10724714,,,,,,,,,,,,,,,,,,,,,,,,,,3384,,3384,8941831,,,8941831,,,,,,167,,167,,,,,86674,12518,,99192,,,,,,,,,,,,,,,,,,,,,73767,16437,,90204,,1525,,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7593,,7593,,,,,,,,,113,,,113,,11,,11,19730253,140521,,20601388,40472162
2004,163286,UNIVERSITY OF MARYLAND-COLLEGE PARK,MD,NCAA Division I-A,,1,NCAA,11652,11281,22933,,,,,,,,,10695,,,10695,10357058,182300,,10539358,,,,,,,,,1,1,,2,,,,,,,,,,,,,,4121,,4121,9290976,,,9290976,1,1,,2,,230,,230,,,,,55264,7061,,62325,,,,,,,,,,,,,,,,,,,,,56318,8540,,64858,,348,,348,,,,,1,1,,2,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,190,,190,,1,,1,,,,,119,,,119,,1,,1,19770434,202796,,26310418,46283648
2008,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12613,11683,24296,,,,,,,,,362013,,,362013,10793864,1240423,,12034287,,,,,,,,,314684,560675,,875359,,,,,,,,,,,,,,354685,,354685,13980823,,,13980823,102888,146922,,249810,,298559,,298559,,,,,522370,361648,,884018,,,,,,,,,,,,,,,,,,,,,374541,461498,,836039,,407974,,407974,,,,,220875,457970,,678845,,,,,,,,,,,,,,,,,141753,184240,,325993,,,,,,,,,,,,,,324321,,324321,,235162,,235162,,,,,262335,,,262335,,,,,27076146,5034077,,27856639,59966862
2009,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12835,11685,24520,,,,,,,,,327158,,,327158,10739282,861059,,11600341,,,,,,,,,226018,561751,,787769,,,,,,,,,,,,,,342257,,342257,11540368,,,11540368,124697,146727,,271424,,275340,,275340,,,,,511115,325967,,837082,,,,,,,,,,,,,,,,,,,,,357026,495541,,852567,,381443,,381443,,,,,197764,476154,,673918,,,,,,,,,,,,,,,,,162313,177444,,339757,,,,,,,,,,,,,,304873,,304873,,251147,,251147,,,,,279756,,,279756,,,,,24465497,4599703,,22576571,51641771
2010,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,13098,11651,24749,,,,,,,,,458766,,,458766,10965638,885420,,11851058,,,,,,,,,257431,479902,,737333,,,,,,,,,,,,,,362077,,362077,13886493,,,13886493,117878,162519,,280397,,290964,,290964,,,,,568600,361420,,930020,,,,,,,,,,,,,,,,,,,,,420684,434520,,855204,,337967,,337967,,,,,300933,410340,,711273,,,,,,,,,,,,,,,,,136446,181194,,317640,,,,,,,,,,,,,,260074,,260074,,265349,,265349,,,,,316685,,,316685,,,,,27429554,4431746,,25903718,57765018
2011,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12973,11617,24590,,,,,,,,,468153,,,468153,12527478,1109542,,13637020,,,,,,,,,294764,546319,,841083,,,,,,,,,,,,,,382169,,382169,19457684,,,19457684,128086,168512,,296598,,293326,,293326,,,,,607593,412155,,1019748,,,,,,,,,,,,,,,,,,,,,413657,435270,,848927,,392241,,392241,,,,,382839,538772,,921611,,,,,,,,,,,,,,,,,161759,130087,,291846,,,,,,,,,,,,,,296143,,296143,,210318,,210318,,,,,345639,,,345639,,,,,34787652,4914854,,22909864,62612370
2012,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12838,11526,24364,,,,,,,,,783088,,,783088,14223192,1140665,,15363857,,,,,,,,,,80455,,80455,,,,,,,,,,,,,,399703,,399703,16480601,,,16480601,29087,182933,,212020,,318226,,318226,,,,,789167,439562,,1228729,,,,,,,,,,,,,,,,,,,,,323844,541688,,865532,,421882,,421882,,,,,,,,,,,,,,,,,,,,,,,,,,148309,,148309,,,,,448146,,,448146,,,,,,342079,,342079,,,,,,,,,68516,,,68516,,,,,33145641,4015502,,20946807,58107950
2013,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,12891,11509,24400,,,,,,,,,555149,,,555149,13525145,850950,,14376095,,,,,,,,,,549850,,549850,,,,,,,,,,,,,,365071,,365071,21716970,,,21716970,60073,170317,,230390,,382679,,382679,,,,,603873,475127,,1079000,,,,,,,,,,,,,,,,,,,,,427977,457171,,885148,,323516,,323516,,,,,,,,,,,,,,,,,,,,,,,,,,41500,,41500,,,,,460045,,,460045,,,,,,265609,,265609,,,,,,,,,321642,,,321642,,,,,37670874,3881790,,26492552,68045216
2014,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,13210,11698,24908,,,,,,,,,558570,,,558570,16720500,1033076,,17753576,,,,,,,,,,707181,,707181,,,,,,,,,,,,,,478244,,478244,30891641,,,30891641,136916,274485,,411401,,582643,,582643,,,,,656357,433051,,1089408,,,,,,,,,,,,,,,,,,,,,442056,608081,,1050137,,527722,,527722,,,,,,,,,,,,,,,,,,,,,,,,,,313854,,313854,,,,,413087,,,413087,,,,,,474270,,474270,,,,,,,,,446682,,,446682,,,,,50265809,5432607,,31165378,86863794
2015,163286,University of Maryland-College Park,MD,NCAA Division I-A,,1,NCAA,13500,11772,25272,,,,,,,,,768882,,,768882,17144695,1182995,,18327690,,,,,,,,,,830611,,830611,,,,,,,,,,,,,,520060,,520060,30071434,,,30071434,200024,244809,,444833,,742898,,742898,,,,,826788,543198,,1369986,,,,,,,,,,,,,,,,,,,,,616508,614571,,1231079,,591441,,591441,,,,,,,,,,,,,,,,,,,,,,,,,,344184,,344184,,,,,496439,,,496439,,,,,,641097,,641097,,,,,,,,,462671,,,462671,,,,,50587441,6255864,,37258392,94101697
